"Hylak_id","longitude","latitude","fish_ID2"
79468,-100.8845828,55.15350779,89
79502,-101.8650435,55.16750141,89
79532,-102.0866435,55.17300141,89
79541,-102.4278435,55.15820141,89
79546,-103.1038435,55.14900141,89
79553,-101.8573435,55.12260141,89
79558,-102.3651435,55.15400141,89
79572,-102.3964435,55.15060141,89
79607,-103.1691435,55.12080141,89
79612,-101.0320828,55.12610779,89
79629,-101.9290435,55.10350141,89
79641,-102.2349435,55.10820141,89
79651,-102.5869435,55.11660141,89
79652,-101.8765435,55.09340141,89
79653,-101.0673828,55.12840779,89
79686,-100.7231828,55.10100779,89
79699,-100.7901828,55.11690779,89
79712,-100.8824828,55.08510779,89
79722,-100.2983828,55.10040779,89
79754,-101.1785828,55.07890779,89
79773,-102.2812435,55.11500141,89
79777,-102.9319435,55.08200141,89
79778,-100.3777828,55.09590779,89
79786,-100.8559828,55.09700779,89
79797,-101.6672435,55.09280141,89
79800,-101.2032828,55.09820779,89
79819,-101.2039828,55.08190779,89
79843,-101.6093435,55.07230141,89
79849,-100.5643828,55.04640779,89
79873,-102.2391435,55.09060141,89
79882,-100.7563828,55.05070779,89
79895,-100.4278828,55.05400779,89
79897,-99.99248282,55.07910779,89
79900,-103.1375435,55.08420141,89
79903,-102.3086435,55.05240141,89
79914,-100.5419828,55.05430779,89
79920,-100.5055828,55.05080779,89
79923,-100.6599828,55.07290779,89
79930,-101.5738435,55.04930141,89
79931,-101.1403828,55.05150779,89
79937,-102.8336435,55.06880141,89
79938,-102.6753435,55.06770141,89
79939,-99.85368282,55.07170779,89
79951,-100.9375828,55.06620779,89
79958,-102.1471435,55.03880141,89
79959,-100.1411828,55.04530779,89
79964,-102.9676435,55.05790141,89
79968,-101.7264435,55.05760141,89
79969,-101.0684828,55.06260779,89
79970,-100.9160828,55.03970779,89
79979,-101.7693435,55.05960141,89
79988,-99.88258282,55.05700779,89
79993,-99.86578282,55.04770779,89
80014,-102.5398435,55.05520141,89
80030,-103.1316435,55.06830141,89
80033,-101.2325828,55.05200779,89
80043,-102.1651435,55.03860141,89
80056,-100.0943828,55.03900779,89
80062,-100.5801828,55.00330779,89
80066,-100.2735828,55.03580779,89
80079,-102.4487435,55.02440141,89
80080,-102.1182435,55.03180141,89
80084,-99.89768282,55.02670779,89
80108,-103.0086435,55.01800141,89
80122,-101.0422828,55.01130779,89
80123,-101.1390828,55.01420779,89
80128,-99.68088282,54.97050779,89
80146,-101.9491435,55.01160141,89
80152,-100.9793828,55.01400779,89
80164,-100.6403828,55.01090779,89
80178,-100.6794828,55.00880779,89
80183,-102.4088435,55.01250141,89
80196,-102.2319435,55.02280141,89
80197,-101.0276828,54.99940779,89
80205,-102.2177435,54.98700141,89
80211,-101.8144435,55.00440141,89
80213,-101.2116828,54.99730779,89
80231,-101.6451435,54.99240141,89
80232,-100.8946828,55.00460779,89
80242,-101.2937828,55.00020779,89
80245,-101.2623828,54.99530779,89
80247,-101.8685435,54.99550141,89
80259,-100.2037828,54.99500779,89
80272,-101.8164435,54.98560141,89
80276,-102.5382435,54.98020141,89
80281,-101.2373828,54.99630779,89
80305,-101.6920435,54.98550141,89
80326,-101.2233828,54.96490779,89
80327,-100.6720828,54.98460779,89
80341,-101.0990828,54.97710779,89
80353,-100.3004828,54.97820779,89
80367,-99.87188282,54.98650779,89
80380,-101.0547828,54.96790779,89
80381,-101.7415435,54.96410141,89
80415,-101.3527828,54.95730779,89
80418,-102.4113435,54.97400141,89
80420,-101.8682435,54.97550141,89
80424,-100.8754828,54.96690779,89
80429,-100.0309828,54.95720779,89
80447,-99.94208282,54.96740779,89
80491,-100.6585828,54.95650779,89
80503,-102.0610435,54.94420141,89
80504,-100.4221828,54.93590779,89
80535,-102.7673435,54.93950141,89
80546,-101.8414435,54.93870141,89
80547,-101.2590828,54.92680779,89
80567,-101.1407828,54.94020779,89
80569,-101.4756435,54.93140141,89
80575,-101.7145435,54.93500141,89
80586,-100.0894828,54.93670779,89
80594,-102.1961435,54.91820141,89
80595,-101.1652828,54.94020779,89
80610,-100.9075828,54.94400779,89
80612,-101.9523435,54.92840141,89
80627,-101.0080828,54.92440779,89
80630,-102.1345435,54.89370141,89
80649,-100.2412828,54.92510779,89
80654,-102.3917435,54.91050141,89
80671,-102.7872435,54.91050141,89
80681,-100.4949828,54.88650779,89
80709,-101.1325828,54.87810779,89
80728,-101.4783435,54.89800141,89
80734,-102.2705435,54.90010141,89
80735,-101.8025435,54.88810141,89
80743,-101.4370828,54.90150779,89
80756,-101.0519828,54.89800779,89
80765,-102.6474435,54.90390141,89
80766,-101.7119435,54.89700141,89
80785,-102.1843435,54.88830141,89
80796,-102.7317435,54.88230141,89
80844,-102.6262435,54.87970141,89
80846,-100.0340828,54.87400779,89
80852,-102.8093435,54.86150141,89
80865,-100.2433828,54.87980779,89
80871,-101.8757435,54.87170141,89
80881,-103.0778435,54.86110141,89
