hylak_id,fishnet,fish_id,image_sat,image_id,image_date,cloud_cover,sr_b1_60,sr_b2_60,sr_b3_60,sr_b4_60,sr_b5_60,sr_b7_60,qa_pixel_60,qa_radsat_60,sr_qa_aerosol_60
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121029_20231001,2023-10-01,1.51,7653.64,8112.12,9001.28,9115.52,8173.92,7443.56,0,0.0,120.64
1359036,1,776,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_121029_20240410,2024-04-10,2.38,7923.68,8544.28,10273.28,10005.88,9492.36,8311.28,0,0.0,222.72
1409436,1,387,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_101064_20210422,2021-04-22,12.23,7416.92,7492.64,7869.32,7849.72,9415.6,7890.16,0,0.0,90.96
1314226,1,832,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_151021_20230512,2023-05-12,30.92,7647.2,7779.4,7994.44,7986.4,8669.88,8194.4,0,0.0,157.44
1337946,1,800,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_167025_20240428,2024-04-28,1.24,7240.92,7852.2,9143.56,9174.4,8732.12,7812.12,0,0.0,218.88
1075052,1,489,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_007054_20211113,2021-11-13,19.41,7494.12,7638.88,7976.6,7934.8,8441.08,7549.0,0,0.0,154.88
1075052,1,489,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_007054_20211129,2021-11-29,44.53,7408.6,7558.36,8044.36,8017.68,8164.08,7476.04,0,0.0,218.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210301,2021-03-01,14.24,7621.12,7914.64,8756.68,8725.36,9250.8,7760.16,0,0.0,149.76
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210402,2021-04-02,0.04,7749.08,8182.88,9169.12,9421.84,8816.04,7494.8,0,0.0,158.72
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210418,2021-04-18,0.9,7840.28,8391.36,9581.2,9849.88,9141.24,7531.76,0,0.0,154.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210504,2021-05-04,0.01,8277.4,8834.4,9998.28,10279.04,9173.92,7438.8,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210520,2021-05-20,40.45,8636.0,9287.28,10587.52,10878.32,9819.24,7486.92,0,0.0,145.92
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210605,2021-06-05,0.37,8760.12,9500.92,10866.92,11139.76,10147.16,7414.0,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20210621,2021-06-21,0.02,8927.52,9683.4,11050.68,11308.16,10479.12,7468.84,0,0.0,157.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220421,2022-04-21,5.64,8494.8,9170.4,10535.16,10747.88,10565.56,7937.32,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220507,2022-05-07,3.59,8643.56,9267.68,10463.8,10686.8,10153.68,7783.04,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220608,2022-06-08,0.01,8816.72,9432.16,10593.4,10908.12,10298.24,7771.48,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220624,2022-06-24,24.38,8335.24,9090.72,10458.28,10796.64,10291.08,7684.32,0,0.0,157.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220710,2022-07-10,0.21,8540.72,9291.92,10703.4,11026.36,10500.76,7891.0,0,0.0,215.04
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220726,2022-07-26,0.74,8565.28,9247.56,10617.44,10866.12,10313.44,7822.56,0,0.0,156.16
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20220811,2022-08-11,0.01,8323.52,9098.44,10633.72,10897.96,10529.48,7833.92,0,0.0,157.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20230102,2023-01-02,0.5,7865.08,8039.8,8672.36,8683.36,8598.84,7546.84,0,0.0,112.64
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20230203,2023-02-03,26.9,7973.52,8184.28,9059.32,8998.16,9273.24,7535.24,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20230408,2023-04-08,1.21,8022.2,8424.72,9639.6,9605.28,8658.96,7466.28,0,0.0,124.16
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20230424,2023-04-24,0.1,8741.28,9384.6,11002.12,11135.84,10476.4,8550.24,0,0.0,142.08
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20230526,2023-05-26,0.01,9037.92,9560.4,10892.64,10793.6,10082.48,7434.24,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20230611,2023-06-11,0.43,9248.2,9832.32,11197.96,11155.72,10666.36,7446.4,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169079_20240121,2024-01-21,0.02,8739.36,9422.88,10728.92,11212.0,10789.8,7405.16,0,0.0,158.72
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210213,2021-02-13,25.47,6710.0,7286.2,8441.92,8469.48,9125.44,7977.44,0,0.0,218.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210301,2021-03-01,6.68,7704.0,7995.76,8804.88,8795.32,9323.32,7765.92,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210402,2021-04-02,7.42,7858.16,8298.2,9248.72,9520.16,8924.24,7503.28,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210418,2021-04-18,0.0,7970.96,8500.52,9628.32,9906.16,9206.84,7536.36,0,0.0,96.0
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210504,2021-05-04,0.1,8103.96,8722.64,9951.36,10263.28,9194.04,7440.36,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210520,2021-05-20,38.31,8662.08,9319.12,10611.68,10909.92,9847.52,7487.56,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210605,2021-06-05,2.36,8780.52,9522.12,10881.12,11162.48,10176.28,7416.36,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20210621,2021-06-21,0.62,8830.6,9626.36,11018.68,11299.24,10495.28,7469.92,0,0.0,93.44
