Fishnet,Fish_Id,Total_Lakes,Exported_Lakes,Percentage_Missing
1,914,1574,2,0.12706480304955528
1,916,681,0,0.0
1,917,10135,10134,99.99013320177602
1,918,5944,2,0.033647375504710635
1,919,2321,2320,99.9569151227919
1,920,1330,25,1.8796992481203008
1,921,4840,4839,99.97933884297521
1,922,9963,9962,99.98996286259158
1,923,1645,1644,99.93920972644376
1,926,6830,6829,99.98535871156662
1,928,4071,4070,99.97543601080815
1,929,379,378,99.73614775725594
1,930,3397,3396,99.97056226081837
1,931,761,760,99.86859395532194
1,932,5218,0,0.0
1,933,8982,0,0.0
1,934,12188,5,0.04102395799146702
1,940,3839,3,0.07814535035165408
1,947,4747,4746,99.97893406361912
1,948,5370,5369,99.98137802607076
1,949,883,882,99.88674971687429
1,950,1054,0,0.0
1,951,4335,4334,99.97693194925029
1,952,7793,1,0.012832028743744386
1,953,6306,6305,99.98414208690136
1,954,3927,3926,99.97453526865291
1,955,592,591,99.83108108108108
1,956,2744,2743,99.96355685131195
1,957,7745,7744,99.98708844415752
1,959,9499,9498,99.98947257606063
1,960,1092,1091,99.9084249084249
1,965,3101,0,0.0
1,966,6129,0,0.0
1,967,7887,0,0.0
1,968,2458,2457,99.9593165174939
1,969,1024,1023,99.90234375
1,977,4,0,0.0
1,980,1175,1174,99.91489361702128
1,981,872,871,99.88532110091744
1,982,1513,1512,99.93390614672836
1,983,4549,4548,99.97801714662563
1,984,7774,7773,99.98713660921018
1,985,4108,5,0.12171372930866602
1,986,3618,3617,99.97236042012162
1,987,1089,2,0.18365472910927455
1,988,761,760,99.86859395532194
1,1004,238,237,99.5798319327731
1,1010,40,39,97.5
1,1012,13,12,92.3076923076923
1,1013,150,149,99.33333333333333
1,1014,1697,1696,99.94107248084856
1,1015,832,831,99.8798076923077
1,1027,8,7,87.5
1,1041,45,44,97.77777777777777
1,1042,9,8,88.88888888888889
2,14,288,0,0.0
2,15,3585,3584,99.9721059972106
2,16,3111,1,0.032144005143040826
2,17,686,685,99.85422740524781
2,31,226,0,0.0
2,32,1515,0,0.0
2,33,314,0,0.0
2,34,6157,0,0.0
2,35,6370,6369,99.98430141287284
2,36,7445,7444,99.98656816655473
2,37,4357,3,0.06885471654808355
2,38,656,0,0.0
2,39,67,0,0.0
2,51,4955,1,0.020181634712411706
2,52,7768,0,0.0
2,53,4404,1,0.022706630336058128
2,54,2675,0,0.0
2,55,2678,0,0.0
2,56,3280,3279,99.96951219512195
2,57,6106,6105,99.98362266622993
2,58,6082,6081,99.98355804011838
2,59,1416,0,0.0
2,60,2326,2,0.08598452278589853
2,67,196,1,0.5102040816326531
2,68,863,0,0.0
2,69,953,0,0.0
2,70,561,0,0.0
2,71,7690,0,0.0
2,72,6444,6443,99.98448168839231
2,73,4839,0,0.0
2,74,2376,2375,99.95791245791246
2,75,863,0,0.0
2,76,7420,7419,99.98652291105121
2,77,10787,10786,99.99072958190415
2,78,6830,6829,99.98535871156662
2,79,6233,1,0.016043638697256536
2,80,7677,7676,99.98697407841605
2,87,807,0,0.0
2,88,2299,0,0.0
2,89,3517,0,0.0
2,90,2856,0,0.0
2,91,5808,0,0.0
2,92,7098,0,0.0
2,93,6138,6137,99.98370804822417
2,94,3612,3611,99.97231450719823
2,95,2304,0,0.0
2,96,10092,10091,99.99009116131589
2,97,12664,27,0.21320277953253317
2,98,9361,9360,99.98931738062173
2,99,7100,7099,99.98591549295774
2,100,6910,1,0.01447178002894356
2,107,2175,0,0.0
2,108,10011,10010,99.9900109879133
2,109,5685,0,0.0
2,110,4320,0,0.0
2,111,841,0,0.0
2,112,229,0,0.0
2,113,795,794,99.87421383647799
2,115,533,0,0.0
2,116,7783,5,0.06424257998201208
2,117,10100,10099,99.99009900990099
2,118,7517,7516,99.9866968205401
2,119,8213,8212,99.98782418117618
2,120,3817,0,0.0
2,124,309,0,0.0
2,125,181,0,0.0
2,126,575,0,0.0
2,127,3886,0,0.0
2,128,8599,0,0.0
2,129,9555,0,0.0
2,130,10214,0,0.0
2,131,1078,0,0.0
2,135,465,0,0.0
2,136,13616,13615,99.99265569917743
2,137,11206,11205,99.99107620917366
2,138,4943,4942,99.97976937082743
2,139,3979,0,0.0
2,140,485,0,0.0
2,144,1198,0,0.0
2,145,1101,0,0.0
2,146,5796,1,0.01725327812284334
2,147,10751,0,0.0
2,148,11109,0,0.0
2,149,11365,4,0.03519577650681918
2,150,10299,0,0.0
2,151,7060,1,0.014164305949008499
2,152,2,0,0.0
2,154,218,0,0.0
2,155,863,0,0.0
2,156,8651,8650,99.98844064270027
2,157,2885,2884,99.96533795493934
2,161,56,0,0.0
2,162,123,0,0.0
2,163,1018,0,0.0
2,164,4393,0,0.0
2,165,9871,0,0.0
2,166,10619,0,0.0
2,167,9901,0,0.0
2,168,9159,0,0.0
2,169,6100,0,0.0
2,170,6754,0,0.0
2,171,10428,2,0.019179133103183737
2,172,6322,0,0.0
2,173,2206,7,0.3173164097914778
2,174,1847,1846,99.94585814834868
2,175,175,0,0.0
2,176,440,0,0.0
2,177,1165,1,0.08583690987124463
2,178,1589,3,0.18879798615481436
2,179,864,0,0.0
2,181,2776,0,0.0
2,182,3809,0,0.0
2,183,3899,0,0.0
